"line","negative","positive","sentiment"
983,19,7,2
984,22,0,-22
985,19,6,-1
986,22,3,-13
987,24,9,3
988,28,5,-13
989,25,8,-1
990,23,9,4
991,21,5,-6
992,22,5,-7
993,16,3,-7
994,18,2,-12
995,22,5,-7
996,24,5,-9
997,29,9,-2
998,30,4,-18
999,11,7,10
1000,35,4,-23
1001,34,8,-10
1002,28,10,2
1003,23,12,13
1004,19,2,-13
1005,17,13,22
1006,24,13,15
1007,30,7,-9
1008,19,6,-1
1009,21,8,3
1010,23,8,1
1011,23,5,-8
1012,13,3,-4
1013,22,8,2
1014,22,4,-10
1015,18,5,-3
1016,23,5,-8
1017,23,8,1
1018,20,10,10
1019,20,6,-2
1020,23,6,-5
1021,27,8,-3
1022,26,7,-5
1023,19,8,5
1024,22,10,8
1025,36,12,0
1026,20,8,4
1027,24,8,0
1028,18,4,-6
1029,18,2,-12
1030,22,9,5
1031,32,10,-2
1032,12,11,21
1033,22,3,-13
1034,20,3,-11
1035,18,4,-6
1036,21,2,-15
1037,25,10,5
1038,20,3,-11
1039,21,4,-9
1040,22,7,-1
1041,22,13,17
1042,16,7,5
1043,18,7,3
1044,23,9,4
1045,13,9,14
1046,33,6,-15
1047,21,8,3
1048,25,4,-13
1049,12,6,6
1050,22,7,-1
1051,18,7,3
1052,26,9,1
1053,25,8,-1
1054,19,2,-13
1055,22,12,14
1056,34,8,-10
1057,29,6,-11
1058,20,12,16
1059,28,10,2
1060,13,2,-7
1061,33,7,-12
1062,28,4,-16
1063,23,4,-11
1064,21,1,-18
1065,29,13,10
1066,17,9,10
1067,20,5,-5
1068,13,4,-1
1069,32,5,-17
1070,16,6,2
1071,14,6,4
1072,17,2,-11
1073,25,13,14
1074,28,15,17
1075,28,4,-16
1076,28,9,-1
1077,26,10,4
1078,27,6,-9
1079,22,10,8
1080,25,7,-4
1081,25,4,-13
1082,15,7,6
1083,29,11,4
1084,22,8,2
1085,20,7,1
1086,37,12,-1
1087,17,4,-5
1088,14,7,7
1089,11,6,7
1090,30,3,-21
1091,25,6,-7
1092,16,6,2
1093,25,9,2
1094,17,5,-2
1095,13,3,-4
1096,31,3,-22
1097,25,5,-10
1098,20,7,1
1099,10,3,-1
1100,31,7,-10
1101,23,3,-14
1102,17,12,19
1103,27,8,-3
1104,24,10,6
1105,21,4,-9
1106,21,6,-3
1107,27,11,6
1108,25,3,-16
1109,19,4,-7
1110,33,7,-12
1111,14,7,7
1112,19,7,2
1113,16,3,-7
1114,31,4,-19
1115,22,12,14
1116,25,8,-1
1117,30,5,-15
1118,19,12,17
1119,12,4,0
1120,25,8,-1
1121,18,4,-6
1122,18,5,-3
1123,22,5,-7
1124,15,7,6
1125,24,6,-6
1126,17,7,4
1127,24,6,-6
1128,20,8,4
1129,10,5,5
1130,16,5,-1
1131,18,5,-3
1132,15,8,9
1133,23,9,4
1134,24,6,-6
1135,14,10,16
1136,21,13,18
1137,24,5,-9
1138,22,4,-10
1139,23,3,-14
1140,13,11,20
1141,18,3,-9
1142,26,7,-5
1143,15,1,-12
1144,17,11,16
1145,27,5,-12
1146,35,6,-17
1147,21,2,-15
1148,26,7,-5
1149,11,7,10
1150,28,7,-7
1151,19,4,-7
1152,17,9,10
1153,15,8,9
1154,24,5,-9
1155,28,8,-4
1156,20,6,-2
1157,15,8,9
1158,23,3,-14
1159,25,7,-4
1160,24,5,-9
1161,18,5,-3
1162,22,6,-4
1163,17,1,-14
1164,18,10,12
1165,19,5,-4
1166,17,10,13
1167,17,3,-8
1168,20,11,13
1169,20,7,1
1170,13,4,-1
1171,21,5,-6
1172,18,7,3
1173,19,4,-7
1174,18,5,-3
1175,10,8,14
1176,23,7,-2
1177,13,7,8
1178,16,11,17
1179,23,5,-8
1180,19,7,2
1181,22,7,-1
1182,19,14,23
1183,21,7,0
1184,18,6,0
1185,26,7,-5
1186,20,8,4
1187,26,8,-2
1188,24,5,-9
1189,13,6,5
1190,23,6,-5
1191,21,6,-3
1192,28,9,-1
1193,27,7,-6
1194,26,9,1
1195,16,4,-4
1196,16,5,-1
1197,19,9,8
1198,31,2,-25
1199,12,5,3
1200,15,9,12
1201,24,6,-6
1202,32,9,-5
1203,11,8,13
1204,14,5,1
1205,22,8,2
1206,22,4,-10
1207,18,5,-3
1208,23,2,-17
1209,16,10,14
1210,28,6,-10
1211,15,8,9
1212,32,4,-20
1213,20,5,-5
1214,19,6,-1
1215,17,4,-5
1216,16,3,-7
1217,16,14,26
1218,11,6,7
1219,21,3,-12
1220,27,9,0
1221,20,11,13
1222,17,9,10
1223,18,8,6
1224,25,4,-13
1225,30,5,-15
1226,20,6,-2
1227,18,5,-3
1228,17,7,4
1229,18,8,6
1230,21,6,-3
1231,23,1,-20
1232,15,10,15
1233,25,6,-7
1234,16,5,-1
1235,13,12,23
1236,12,9,15
1237,17,8,7
1238,17,2,-11
1239,13,7,8
1240,11,9,16
1241,13,9,14
1242,17,2,-11
1243,23,6,-5
1244,33,10,-3
1245,19,8,5
1246,21,5,-6
1247,16,1,-13
1248,33,7,-12
1249,32,10,-2
1250,20,3,-11
1251,25,13,14
1252,22,9,5
1253,25,13,14
1254,22,4,-10
1255,24,9,3
1256,21,6,-3
1257,16,10,14
1258,13,8,11
1259,13,2,-7
1260,26,10,4
1261,30,3,-21
1262,24,9,3
1263,20,5,-5
1264,24,3,-15
1265,12,3,-3
1266,16,4,-4
1267,19,4,-7
1268,24,6,-6
1269,33,14,9
1270,29,6,-11
1271,33,9,-6
1272,18,4,-6
1273,14,7,7
1274,27,8,-3
1275,20,9,7
1276,19,10,11
1277,20,9,7
1278,15,10,15
1279,16,5,-1
1280,23,8,1
1281,22,9,5
1282,28,15,17
1283,9,4,3
1284,22,5,-7
1285,12,9,15
1286,29,8,-5
1287,15,8,9
1288,23,11,10
1289,12,2,-6
1290,19,4,-7
1291,12,3,-3
1292,17,5,-2
1293,20,5,-5
1294,18,9,9
1295,19,5,-4
1296,15,7,6
1297,17,10,13
1298,15,3,-6
1299,35,5,-20
1300,21,11,12
1301,17,11,16
1302,26,7,-5
1303,16,7,5
1304,24,10,6
1305,12,13,27
1306,15,12,21
1307,16,4,-4
1308,21,8,3
1309,22,8,2
1310,18,3,-9
1311,21,6,-3
1312,19,4,-7
1313,17,7,4
1314,19,10,11
1315,20,5,-5
1316,25,6,-7
1317,20,8,4
1318,26,6,-8
1319,8,8,16
1320,19,3,-10
1321,16,5,-1
1322,17,5,-2
1323,20,8,4
1324,20,7,1
1325,21,7,0
1326,22,9,5
1327,23,7,-2
1328,21,4,-9
1329,21,11,12
1330,22,6,-4
1331,15,10,15
1332,14,11,19
1333,20,5,-5
1334,30,6,-12
1335,25,16,23
1336,25,9,2
1337,35,7,-14
1338,29,5,-14
1339,24,2,-18
1340,16,8,8
